artist,song,link,text
Dean Martin,A Girl Named Mary And A Boy Named Bill,/d/dean+martin/a+girl+named+mary+and+a+boy+named+bill_20712685.html,"For you're my Mary and I'm your Bill  
For a girl named Mary and a boy named Bill  
Where there's a sky that's full of moonlight  
To a girl named Mary and a boy named Bill  "
Dean Martin,A Winter Romance,/d/dean+martin/a+winter+romance_20345846.html,"But though the snow is gone the romance lingers on  
(And those that said it didn't stand a chance)  
And all of our summers we'll have our winter romance  
And all of our summers we'll have our winter romance"
Dean Martin,About A Quarter To Nine,/d/dean+martin/about+a+quarter+to+nine_20162588.html,"I know I won't be late 'cause at half past eight  
And then the world is gonna be mine oh all mine  
My loving arms are gonna tenderly twine twee twee twine  "
Dean Martin,Absence Makes The Heart Grow Fonder,/d/dean+martin/absence+makes+the+heart+grow+fonder_20157999.html,"I don't say I will but still I may,  
I don't say I will but still I may,  "
Dean Martin,Ain't Nothing Like The Real Thing,/d/dean+martin/aint+nothing+like+the+real+thing_20785229.html,"So glad we've got the real thing, oh darling  
I realize it's just a picture in a frame  "
Dean Martin,Ain't That A Kick In The Head,/d/dean+martin/aint+that+a+kick+in+the+head_20285249.html,"I couldn't be any better or I'd be sick  
Tell me quick, ain't that a kick in the head?  
Tell me quick ain't that a kick in the head?"
Dean Martin,Alabamy Bound,/d/dean+martin/alabamy+bound_20231308.html,"All I'm worth to put my tootsies in an upper berth  
I know that soon we're gonna cover the ground  
All I'm worth to put my tootsies in an upper berth  
And then I'll holler so the world will know  "
Dean Martin,All I Do Is Dream Of You,/d/dean+martin/all+i+do+is+dream+of+you_20236926.html,"All I do is dream of you the whole night through  
All I do the whole day through is dream of you  
All I do the whole day through is dream of you
Where the dawn I still go on dreaming of you  "
Dean Martin,All I Have To Give You,/d/dean+martin/all+i+have+to+give+you_20237287.html,"I wish that I could give you more than just my love  
The world and its treasures, the sun, the moon, the stars above  
All I have to give to you is my love  "
Dean Martin,All In A Night's Work,/d/dean+martin/all+in+a+nights+work_20238063.html,"And when a girl and fellow get underneath that moon  
And when a girl and fellow get underneath that moon  
I smile and say it was all in a night's work  
When Edison stayed up so late he finally saw the light  "
Dean Martin,All Of Me,/d/dean+martin/all+of+me_20237644.html,
Dean Martin,Almost Like Being In Love,/d/dean+martin/almost+like+being+in+love_20822100.html,
Dean Martin,Always In My Heart,/d/dean+martin/always+in+my+heart_20251055.html,"And the dreams I always meet help me forget were far apart  
I can hear the music of the song I sang to you  "
Dean Martin,Angel Baby,/d/dean+martin/angel+baby_20274883.html,"Who can imagine what I'd give for Angel baby  
Who can imagine what I'd give for Angel baby  "
Dean Martin,Any Time,/d/dean+martin/any+time_20289308.html,"So, any time you say you're wantin' me back again  
So, any time you say you want me right back again  
That's the time I'll be thinkin' of you  
That's the time I'll be thinkin' of you  "
Dean Martin,Anything You Can Do,/d/dean+martin/anything+you+can+do_20289289.html,"I'm the major one you're the minor one  
(No you can't) Yes I can yes I can, Enzio
I can get a sparrow with a bow and arrow  
I can live on bread and cheese (and only that)  "
Dean Martin,April Again,/d/dean+martin/april+again_20822929.html,
Dean Martin,April In Paris,/d/dean+martin/april+in+paris_20296467.html,
Dean Martin,Arrivederci Roma,/d/dean+martin/arrivederci+roma_20310020.html,
Dean Martin,Artists And Models (feat. Jerry Lewis),/d/dean+martin/artists+and+models+feat+jerry+lewis_20310980.html,"And to every girl that poses to every Grandma Moses  
To the guys that draw their bunnies or the Sunday morning funnies  "
Dean Martin,As You Are,/d/dean+martin/as+you+are_20353989.html,"What you are to me my love you'll ever be  
What you are to me my love you'll ever be  "
Dean Martin,Baby It's Cold Outside,/d/dean+martin/baby+its+cold+outside_20151674.html,"(My sister will be suspicious) Gosh your lips look delicious  
(I wish I knew how) Your eyes are like starlight now  
(The welcome has been) How lucky that you dropped in  
(My maiden aunt's mind is vicious) Gosh your lips are delicious  "
Dean Martin,Baby-o,/d/dean+martin/baby+o_20712718.html,
Dean Martin,Baby Obey Me,/d/dean+martin/baby+obey+me_20151393.html,"Well get in my arms and keep them filled up  
Facts are facts and I'm mad about your caress  
When I say give me love well don't be meager  
Songs are writ to tell you what the lovers say  "
Dean Martin,Baby Won't You Please Come Home,/d/dean+martin/baby+wont+you+please+come+home_20816451.html,"Every hour in the day you'll hear me say  
Every hour in the day you'll hear me say  "
Dean Martin,Babyface,/d/dean+martin/babyface_21048494.html,"I didn't need a shove, I just fell in love  
I'm up in heaven when I'm in your firm embrace  
I didn't need a shove, I just fell in love  
I didn't need a shove 'coz I just fell in love  "
Dean Martin,Basin Street Blues,/d/dean+martin/basin+street+blues_20158625.html,We'll take the boat to the land of dreams  
Dean Martin,Be An Angel,/d/dean+martin/be+an+angel_20158511.html,"You're a joy and heaven on earth to me  
You're a joy and heaven on earth to me  "
Dean Martin,Be Honest With Me,/d/dean+martin/be+honest+with+me_20153978.html,"And how I will yearn dear when I'm all alone  
Oh you are my darling you're all that I see  
Some day I'll return dear kinda make you my own  
My poor heart would break dear if you were untrue  "
Dean Martin,Beau James,/d/dean+martin/beau+james_20154039.html,"And though the town fell out of love with him  
And though the town fell out of love with him  "
Dean Martin,Because You're Mine,/d/dean+martin/because+youre+mine_20152464.html,"I only know for as long as I may live  
I'll only live for the kiss that you alone may  "
Dean Martin,Bella Bella Bambina,/d/dean+martin/bella+bella+bambina_20155835.html,"How my heart will be singing love's sweet melody  
Skies above will be bringing sunshine and gladness to me  
Chapel bells will be ringing when she whispers si si  
Violets from the street vendor for the one I adore  "
Dean Martin,Belle From Barcelona,/d/dean+martin/belle+from+barcelona_20156060.html,
Dean Martin,Bet-I-Cha,/d/dean+martin/bet+i+cha_20161813.html,
Dean Martin,Better Than A Dream (feat. Judy Holliday),/d/dean+martin/better+than+a+dream+feat+judy+holliday_20163204.html,What you are is better far better than a dream  
Dean Martin,"Blue, Blue Day",/d/dean+martin/blue+blue+day_20823198.html,"It's been a blue, blue day, I feel like runnin' away  
I can't pretend and say that I don't love anyway  
My love is been untrue, she's found somebody new  
How can I make believe that I don't sit and grieve  "
Dean Martin,Blue Moon,/d/dean+martin/blue+moon_20712699.html,
Dean Martin,Blue Smoke (Kohu-Auwahi),/d/dean+martin/blue+smoke+kohu+auwahi_20156390.html,"I promised I'd be true and love only you  
Blue smoke goes drifting by into the deep blue sky  
And as I sailed away with a longing to stay  
Blue smoke goes drifting by into the deep blue sky  "
Dean Martin,Brahms Lullaby,/d/dean+martin/brahms+lullaby_20712679.html,"Sleep now, blessed and sweet, look at dream's paradise.  
Sleep now, blessed and sweet, look at dream's paradise.
Who show the little Christ Child's tree in dreams,  
May thou sleep, may thou rest, may thy slumber be blest.  "
Dean Martin,Bumming Around,/d/dean+martin/bumming+around_20712681.html,
Dean Martin,Buona Sera,/d/dean+martin/buona+sera_20158605.html,"And in the meantime I buy a wedding ring for your finger  
In the meantime let me tell you that I love you  
Where the mountains help the moon come in to sight  
Though it's hard for us to whisper buona sera  "
Dean Martin,Buttercup A Golden Hair,/d/dean+martin/buttercup+a+golden+hair_20730226.html,"Every night I dream and dream and dream and dream about you  
Even when I sleep I cannot do without you  "
Dean Martin,By The Time I Get To Phoenix,/d/dean+martin/by+the+time+i+get+to+phoenix_20164232.html,"She'll find the note I left hangin' on her door  
By the time I make Albuquerque, she'll be working  
'Cause I've left that gal so many times before  
She'll probably stop at lunch and give me a call  "
Dean Martin,Canadian Sunset,/d/dean+martin/canadian+sunset_20172273.html,I've found a love that I couldn't ignore  
Dean Martin,Candy Kisses,/d/dean+martin/candy+kisses_20712738.html,
Dean Martin,Carolina In The Morning,/d/dean+martin/carolina+in+the+morning_20175807.html,"Nothing could be finer than to be in Carolina in the morning  
If I had Aladdin's lamp for only a day  
I'd make a wish and here's what I'd say  
Nothing could be finer than to be in Carolina in the morning  "
Dean Martin,Carolina Moon,/d/dean+martin/carolina+moon_20175802.html,"Scatter your light, say I'm all right, please do, please do  
How I'm hopin' tonight you go, go to the right window  
How I'm hopin' tonight you go, go to the right window  
Scatter your light, say I'm all right, please do, please do  "
Dean Martin,C'est Magnifique,/d/dean+martin/cest+magnifique_20712726.html,When love comes in and takes you for a spin  
